Name,Username
Cristiano Ronaldo,cristiano
Lionel Messi,leomessi
Selena Gomez,selenagomez
Kylie Jenner,kyliejenner
Dwayne Johnson,therock
Ariana Grande,arianagrande
Kim Kardashian,kimkardashian
Beyoncé,beyonce
Justin Bieber,justinbieber
Taylor Swift,taylorswift
